broad_commodity_grp,cpi_weight,change_vs_last_month,change_on_same_month_of_previous_year,month_year
"Housing, Water, Electricity, Gas and other Fuels",18.3,0.2,12.68,January 2019
"Furnishings, Household Equipment and Routine Household Maintenance",6.16,0.18,3.58,January 2019
Health,3.13,0.35,4.52,January 2019
Transport,8.66,-1.4,11.05,January 2019
Communication,3.82,0.1,4.69,January 2019
Recreation and Culture,2.25,0.07,0.9,January 2019
Education,3.14,0.99,1.48,January 2019
Restaurant and Hotels,4.48,0.16,3.36,January 2019
Miscellaneous Goods and Services,4.52,0.39,3.52,January 2019
Total,100,0.35,4.7,January 2019
Food and Non-Alcoholic Beverages,36.04,1.69,4.71,January 2018
"Alcoholic Beverages, Tobacco and Narcotics",2.06,0.53,3.03,January 2018
Clothing and Footwear,7.43,0.69,3.61,January 2018
"Housing, Water, Electricity, Gas and other Fuels",18.3,0.9,5.74,January 2018
"Furnishings, Household Equipment and Routine Household Maintenance",6.16,0.54,3.62,January 2018
Health,3.13,0.35,4.26,January 2018
Transport,8.66,1.53,6.8,January 2018
Communication,3.82,0.07,0.59,January 2018
Recreation and Culture,2.25,0.22,1.67,January 2018
Education,3.14,4.42,5.38,January 2018
Restaurant and Hotels,4.48,0.39,7.03,January 2018
Miscellaneous Goods and Services,4.52,0.76,4.11,January 2018
Total,100,1.32,4.83,January 2018
Food & Non-Alcoholic Beverages,36.04,1.66,12.54,January 2017
"Alcoholic Beverages, Tobacco & Narcotics",2.06,0.55,2.87,January 2017
Clothing & Footwear,7.43,0.07,4.04,January 2017
"Housing, Water, Electricity, Gas and other Fuels",18.3,0.33,0.07,January 2017
"Furnishings, Household Equipment and Routine Household Maintenance",6.16,0.2,2.95,January 2017
Health,3.13,0.92,2.26,January 2017
Transport,8.66,0.6,1.85,January 2017
Communication,3.82,0.01,1.46,January 2017
Recreation & Culture,2.25,0.1,2.23,January 2017
Education,3.14,2.28,2.96,January 2017
Restaurant & Hotels,4.48,0,4.5,January 2017
Miscellaneous Goods & Services,4.52,0.23,3.56,January 2017
Total,100,1,6.99,January 2017
Food & Non-Alcoholic Beverages,36.04,0.47,12.71,January 2016
"Alcoholic Beverages, Tobacco & Narcotics",2.06,0.41,14.93,January 2016
Clothing & Footwear,7.43,0.39,4.88,January 2016
"Housing, Water, Electricity, Gas and other Fuels",18.3,0.31,4.56,January 2016
"Furnishings, Household Equipment and Routine Household Maintenance",6.16,0.5,4.95,January 2016
Health,3.13,1.73,5.55,January 2016
Transport,8.66,-0.94,-0.24,January 2016
Communication,3.82,0.09,1.38,January 2016
Recreation & Culture,2.25,2.24,4.12,January 2016
Education,3.14,3.34,4.12,January 2016
Restaurant & Hotels,4.48,0.46,5.7,January 2016
Miscellaneous Goods & Services,4.52,0.24,4.91,January 2016
Total,100,0.39,7.78,January 2016
Food & Non-Alcoholic Beverages,36.04,0.96,7.67,January 2015
"Alcoholic Beverages, Tobacco & Narcotics",2.06,0.47,1.87,January 2015
Clothing & Footwear,7.43,0.55,4.36,January 2015
"Housing, Water, Electricity, Gas and other Fuels",18.3,0.55,4.11,January 2015
"Furnishings, Household Equipment and Routine Household Maintenance",6.16,0.42,4.54,January 2015
Health,3.13,0.89,4.96,January 2015
Transport,8.66,-1.39,5.31,January 2015
Communication,3.82,0.06,0.5,January 2015
Recreation & Culture,2.25,0.51,3.44,January 2015
Education,3.14,3.28,4.88,January 2015
Restaurant & Hotels,4.48,0.07,4.92,January 2015
Miscellaneous Goods & Services,4.52,0.29,4.31,January 2015
,100,0.61,5.53,January 2015
Total,,,,January 2015
Food & Non-Alcoholic Beverages,36.04,1,10.14,January 2014
"Alcoholic Beverages, Tobacco & Narcotics",2.06,0.49,7.71,January 2014
Clothing & Footwear,7.43,0.6,5.01,January 2014
"Housing, Water, Electricity, Gas and other Fuels",18.3,0.87,4.82,January 2014
"Furnishings, Household Equipment and Routine Household Maintenance",6.16,0.37,5.18,January 2014
Health,3.13,1.38,5.62,January 2014
Transport,8.66,1.95,6.77,January 2014
Communication,3.82,0.04,-3.32,January 2014
Recreation & Culture,2.25,2.93,12.12,January 2014
Education,3.14,3.7,4.27,January 2014
Restaurant & Hotels,4.48,1.18,7.34,January 2014
Miscellaneous Goods & Services,4.52,0.51,4.76,January 2014
Total,100,1.08,7.21,January 2014
Food & Non-Alcoholic Beverages,36.04,1.24,2.4,January 2013
"Alcoholic Beverages, Tobacco & Narcotics",2.06,0.41,4.56,January 2013
Clothing & Footwear,7.43,0.46,5.89,January 2013
"Housing, Water, Electricity, Gas and other Fuels",18.3,1.06,4.48,January 2013
"Furnishings, Household Equipment and Routine Household Maintenance",6.16,0.31,4.67,January 2013
Health,3.13,1.22,4.33,January 2013
Transport,8.66,0.61,2.81,January 2013
Communication,3.82,0,0.13,January 2013
Recreation & Culture,2.25,1.49,4.51,January 2013
Education,3.14,4.3,6.67,January 2013
Restaurant & Hotels,4.48,0.52,7.93,January 2013
Miscellaneous Goods & Services,4.52,0.35,4.88,January 2013
Total,100,1.02,3.67,January 2013
Food & Non-Alcoholic Beverages,36.04,0.58,24.58,January 2012
"Alcoholic Beverages, Tobacco & Narcotics",2.06,0.77,16.43,January 2012
Clothing & Footwear,7.43,0.76,11.56,January 2012
"Housing, Water, Electricity, Gas and other Fuels",18.3,0.49,14.72,January 2012
"Furnishings, Household Equipment and Routine Household Maintenance",6.16,0.85,13.25,January 2012
Health,3.13,1.16,7.11,January 2012
Transport,8.66,-1.47,22.42,January 2012
Communication,3.82,-0.02,7.29,January 2012
Recreation & Culture,2.25,1.86,11.71,January 2012
Education,3.14,4.26,5.66,January 2012
Restaurant & Hotels,4.48,0.96,19.95,January 2012
Miscellaneous Goods & Services,4.52,1.03,12.07,January 2012
Total,100,0.56,18.31,January 2012
Health,3.13,0.76,5.53,January 2011
Transport,8.66,1.06,8.41,January 2011
Communication,3.82,-2.27,-25.16,January 2011
Recreation & Culture,2.25,1.53,4.78,January 2011
Education,3.14,3.31,4.18,January 2011
Restaurant & Hotels,4.48,0.88,7,January 2011
"Miscellaneous 
 Goods",4.52,0.83,2.99,January 2011
Services,,,,January 2011
Total,,1.09,5.42,January 2011
