commodity_name,quantity_plus_unit,avg_price_this_month_last_year,avg_price_last_month,avg_price_this_month_this_year,pct_change_over_last_month_this_month_vs_last_month,pct_change_over_last_year_this_month_this_year_vs_this_month_last_year,month_year
Mangoes,1 Kg,113.57,114.75,93.86,-18.21,-17.35,January 2018
Electricity,50 KWh,559.19,669.45,682.71,1.98,22.09,January 2018
Electricity,200 KWh,"3,575.14","4,016.18","4,069.22",1.32,13.82,January 2018
Petrol,1 litre,96.88,105.04,107.17,2.03,10.62,January 2018
Diesel,1 Litre,85.2,92.44,95.79,3.62,12.43,January 2018
Kerosene,1 Litre,64.41,71.42,75.74,6.05,17.59,January 2018
Gas -(LPG),13 Kg,"1,989.87","2,141.46","2,140.37",-0.05,7.56,January 2018
Kale-Sukuma Wiki,1 Kg,36.75,45.7,48.74,6.7,32.6,January 2017
Maize Flour - Sifted,2 Kg,106.15,115.18,119.64,3.9,12.7,January 2017
Cabbages,1 Kg,47.75,67.1,71.58,6.7,49.9,January 2017
Spinach,1 Kg,44.73,46.58,49.52,6.3,10.7,January 2017
Fresh Packeted Milk,500 Ml,53.44,53.94,54.27,0.6,1.6,January 2017
Beans,1 Kg,120.92,130.02,132.76,2.1,9.8,January 2017
Onions,1 Kg,141.74,111.96,114.35,2.1,-19.3,January 2017
Wheat Flour,2 Kg,130.81,130.24,131.86,1.2,0.8,January 2017
Loose Maize Grain,1 Kg,41.08,45.78,46.41,1.4,13,January 2017
Irish Potatoes,1 Kg,74.37,81.43,82.33,1.1,10.7,January 2017
Mangoes,1 Kg,87.65,117.18,113.57,-3.1,29.6,January 2017
Single Room,1 Room,"3,969.80","4,070.28","4,092.70",0.6,3.1,January 2017
Charcoal,4 Kg,78.82,79.2,79.64,0.6,1,January 2017
Gas - (LPG),13 Kg,"2,343.86","1,983.06","1,989.87",0.3,-15.1,January 2017
Kerosene,1 litre,47.11,64.52,64.41,-0.1,36.7,January 2017
Electricity,50 KWh,534.3,558.9,559.19,0.1,4.7,January 2017
Electricity,200 KWh,"3,398.70","3,497.10","3,575.14",2.2,5.2,January 2017
Petrol,1 litre,89.52,95.08,96.88,1.9,8.2,January 2017
Diesel,1 litre,77.66,88.18,85.2,-3.4,9.7,January 2017
Potatoes (Irish),1 Kg,46.32,76.4,74.37,-2.66,60.57,January 2016
Tomatoes,1 Kg,90.06,125.6,131.19,4.45,45.67,January 2016
Onions,1 Kg,94.24,134.34,141.74,5.51,50.41,January 2016
Cabbages,1 Kg,32.56,43.31,47.75,10.25,46.67,January 2016
Kale-Sukuma Wiki,1 Kg,32.97,37.07,36.75,-0.87,11.45,January 2016
Cigarettes,1 Packet,96.89,121.18,121.18,0,25.07,January 2016
Beer,500 Ml,136.15,155.66,155.66,0,14.33,January 2016
House rent,One room,"3,676.43","3,934.28","3,969.80",0.9,7.98,January 2016
Charcoal,4 Kg,73.25,78.42,78.82,0.5,7.61,January 2016
Electricity,50 KWh,502.4,542.42,534.3,-1.5,6.35,January 2016
Beef With Bones,1 Kg,355.98,386.66,387.96,0.3,9,January 2015
Cabbages,1 Kg,51.7,29.14,32.56,11.7,-37,January 2015
Sukuma Wiki,,,,,,,January 2015
(Kales),1 Kg,45.01,31.23,32.97,5.6,-26.7,January 2015
Tomatoes,1 Kg,81.28,83.89,90.06,7.4,10.8,January 2015
Onions,1 Kg,114.53,91.81,94.24,2.6,-17.7,January 2015
Potatoes (Irish),1 Kg,52.05,46.39,46.32,-0.2,-11,January 2015
Maize Flour - Sifted,2 Kg,112.21,103.93,100.93,-2.9,-10.1,January 2015
Maize Grain - Loose,1 Kg,43.84,42.57,42.18,-0.9,-3.8,January 2015
Maize Flour - Loose,1 Kg,56.9,45.77,44.59,-2.6,-21.6,January 2015
Matatu Fares,About 250 Km,365.55,405.29,403.45,-0.5,10.4,January 2015
Country Bus Fares,About 350 Km,902.61,972.58,964.01,-0.9,6.8,January 2015
Kerosene,1 litre,85.81,72.3,66.53,-8,-22.5,January 2015
Gas(LPG),13 Kg,"2,995.22","3,018.45","2,954.36",-2.1,-1.4,January 2015
Electricity,50 KW/h,526.7,521.54,502.4,-3.7,-4.6,January 2015
Electricity,200 KW/h,"3,285.90","3,509.48","3,432.92",-2.2,4.5,January 2015
Diesel,1 litre,106.26,91.79,84.3,-8.2,-20.7,January 2015
Tomatoes,1 Kg,72.78,67.05,81.28,21.23,11.68,January 2014
Onions,1 Kg,101.38,107.92,114.53,6.12,12.97,January 2014
Potatoes (Irish),1 Kg,55.47,51.21,52.05,1.63,-6.17,January 2014
Mangoes,1 Kg,73.11,63.57,60.69,-4.53,-17,January 2014
Kale-Sukuma Wiki,1 Kg,34.08,43.83,45.01,2.71,32.06,January 2014
Beef - With Bones,1 Kg,331.49,354.4,355.98,0.44,7.39,January 2014
Electricity,50 Kwh,568,517.2,526.7,1.84,-7.27,January 2014
Gas (LPG),13 Kg,"2,630.73","2,876.00","2,995.22",4.15,13.86,January 2014
Kerosene,1 litre,83.49,83.93,85.81,2.24,2.78,January 2014
Petrol,1 litre,112.86,110.82,111.98,1.05,-0.77,January 2014
Diesel,1 litre,106.2,105.39,106.26,0.82,0.05,January 2014
Sugar,1 Kg,145.34,122.07,122.16,0.1,-15.9,January 2013
Sifted Maize Flour,2 Kg,111.74,112.36,112.14,-0.2,0.4,January 2013
Wheat Flour,2 Kg,144.24,138.34,139.6,0.9,-3.2,January 2013
Packed milk,500 Ml,33.56,35.89,38.31,6.7,14.2,January 2013
Offals (Matumbo),1 Kg,180.84,193.52,194.28,0.4,7.4,January 2013
Electricity,50 Kwhr,736,577,568,-1.6,-22.8,January 2013
Electricity,200 Kwhr,"3,730.00","3,094.00","3,058.00",-1.2,-18,January 2013
Gas (LPG),13 Kg,"3,149.63","2,604.55","2,630.73",1,-16.5,January 2013
Kerosene,1 litre,87.93,86.01,83.49,-2.9,-5.1,January 2013
Petrol,1 litre,113.41,113.64,112.86,-0.7,-0.5,January 2013
Diesel,1 litre,108.18,106.83,106.2,-0.6,-1.8,January 2013
