number_original,County,equitable_share_2020_21,equitable_share_2021_22_plus,conditional_grant_2020_21,conditional_grant_2021_22_plus,annual_own_source_revenue_2020_21,annual_own_source_revenue_2021_22_plus,total_revenue_2020_21,total_revenue_2021_22_plus,number_x,county,number_of_schools,total_enrolment,average_school_size,place,population,land_area_km_sq,pop_density_per_km_sq,county_ptr,public_enrolment,public_teachers,public_PTR,private_enrolment,private_teachers,private_PTR,overall_public_plus_private_enrolment,public_over_overall_enrolment_as_pct,overall_pri_ptr_county,overall_pri_ptr_enrolment,overall_pri_ptr_teachers,overall_pri_ptr_PTR,txtbk_no,txtbk_county,txtbk_grade_1,txtbk_grade_2,txtbk_grade_3,pupil_textbook_ratio,s_number_elec,county_elec,national_grid,solar,no_power,elec_table_total,no_power_pct,with_power_pct,with_national_grid_pct,complete_dig_SN,complete_dig_county,number_of_pri_schools_by_2016,number_of_schools_w_complete_digital_devices,pct_installed,detailed_digi_SN,detailed_digi_county,installed_learner_digi_devices,installed_learner_digi_devices.1,Installed_digi_content_server_and_wireless_routers,installed_projectors,installed_special_needs_edu_devices,nasmla_number,nasmla_county,mathematics_mean,mathematics_SE,english_mean,english_SE,kiswahili_mean,kiswahili_SE,county_lower,Unnamed: 0.1,name,capital,code,sub_counties,sub_counties_lower,Place_county_or_subcounty,total_and_gender,number_y,dont_know_number,dont_know_number_percent,not_stated_number,at_school_or_learning_institution_number,at_school_or_learning_institution_pct,after_completion_number,after_completion_pct,before_completion_number,before_completion_pct,never_been_to_school_or_learning_institution_number,never_been_to_school_or_learning_institution_pct,Unnamed: 0,male_Place_county_or_subcounty,male_total_and_gender,male_number,male_dont_know_number,male_dont_know_number_percent,male_not_stated_number,male_at_school_or_learning_institution_number,male_at_school_or_learning_institution_pct,male_after_completion_number,male_after_completion_pct,male_before_completion_number,male_before_completion_pct,male_never_been_to_school_or_learning_institution_number,male_never_been_to_school_or_learning_institution_pct,male_Place_county_or_subcounty_lower,name_lower,county_pupil_tr,pre_primary_pupil_teacher_ratio,secondary_pupil_teacher_ratio,female_Place_county_or_subcounty,female_total_and_gender,female_number,female_dont_know_number,female_dont_know_number_percent,female_not_stated_number,female_at_school_or_learning_institution_number,female_at_school_or_learning_institution_pct,female_after_completion_number,female_after_completion_pct,female_before_completion_number,female_before_completion_pct,female_never_been_to_school_or_learning_institution_number,female_never_been_to_school_or_learning_institution_pct,public_primary_enrolment_as_pct_of_overall_enrolment,never_been_to_school_over_population_pct,before_completion_over_population_pct,left_school_before_plus_after_completion,left_school_over_left_before_and_after_as_pct,after_completion_over_left_before_and_after_as_pct,never_been_to_school_over_left_before_and_after_pct,population_per_no_of_schools_over_area
19,Kakamega,"10,412.85","12,389.41","1,499.98",844.39,"1,118.24","2,113.00","13,031.06","15,346.80",11,Kakamega,"1,120","555,021",496,Kakamega,"1,867,579","3,020.00",618,Kakamega,"519,857","10,664",49,"35,164","1,825",19,"555,021",93.66438387,Kakamega,"555,021","12,489",44,11,Kakamega,0.97,0.98,0.99,0.98,37,Kakamega,887,9,13,909,1.430143014,98.56985699,97.57975798,11,Kakamega,880,879,99.89,11,Kakamega,"66,404","1,760",880,880,93,11,Kakamega,469,18.1,485.1,20.9,503,13.8,kakamega,486,Kakamega,Kakamega,37,,,KAKAMEGA,KAKAMEGA,"1,732,145","11,722",0.7,382,"853,031",49.2,"334,397",19.3,"352,269",20.3,"180,344",10.4,866,KAKAMEGA,Male,"828,945","6,139",0.7,170,"428,344",51.7,"162,596",19.6,"157,153",19,"74,543",9,kakamega,kakamega,Kakamega,63.2,35,KAKAMEGA,Female,"903,166","5,583",0.6,212,"424,667",47,"171,796",19,"195,111",21.6,"105,797",11.7,93.66438387,9.656566068,18.86233461,"686,666",51.30136049,48.69863951,26.26371482,0.5521461093
20,Kericho,"5,380.50","6,430.66",780.03,722.35,595.98,494.05,"6,756.51","7,647.07",12,Kericho,827,"222,619",269,Kericho,"901,777","2,436.10",370,Kericho,"178,579","5,494",33,"44,040","2,154",20,"222,619",80.21732197,Kericho,"222,619","7,648",29,12,Kericho,0.96,0.97,0.97,0.97,35,Kericho,497,1,0,498,0,100,99.79919679,12,Kericho,503,502,99.8,12,Kericho,"23,783","1,004",502,502,66,12,Kericho,457.1,16.4,449.4,20.1,449.5,14.5,kericho,481,Kericho,Kericho,35,,,KERICHO,KERICHO,"834,061","4,236",0.5,219,"387,109",46.4,"201,479",24.2,"172,473",20.7,"68,545",8.2,827,KERICHO,Male,"415,734","2,323",0.6,110,"197,586",47.5,"105,284",25.3,"80,978",19.5,"29,453",7.1,kericho,kericho,Kericho,31.8,33.7,KERICHO,Female,"418,300","1,913",0.5,109,"189,513",45.3,"96,187",23,"91,489",21.9,"39,089",9.3,80.21732197,7.601103155,19.12590363,"373,952",46.12169476,53.87830524,18.32989261,0.4476087143
21,Kiambu,"9,431.70","11,717.53","1,418.16",742.54,"2,425.25","3,883.30","13,275.10","16,343.37",13,Kiambu,899,"347,510",387,Kiambu,"2,417,735","2,538.60",952,Kiambu,"227,580","6,129",37,"119,930","4,227",28,"347,510",65.48876291,Kiambu,"347,510","10,356",34,13,Kiambu,0.94,0.98,0.96,0.96,22,Kiambu,461,0,1,462,0.2164502165,99.78354978,99.78354978,13,Kiambu,481,481,100,13,Kiambu,"23,732",962,481,481,50,13,Kiambu,554.4,39.2,594.7,26,562,20,kiambu,87,Kiambu,Kiambu,22,Kiambu,kiambu,KIAMBU,KIAMBU,"2,231,514","13,057",0.6,522,"778,586",34.9,"1,013,910",45.4,"326,845",14.6,"98,594",4.4,533,KIAMBU,Male,"1,092,380","7,274",0.7,262,"388,770",35.6,"504,910",46.2,"151,002",13.8,"40,162",3.7,kiambu,kiambu,Kiambu,26.6,25.9,KIAMBU,Female,"1,139,012","5,783",0.5,260,"389,788",34.2,"508,948",44.7,"175,810",15.4,"58,423",5.1,65.48876291,4.077948989,13.51864452,"1,340,755",24.37768272,75.62231728,7.353617924,1.059387221
25,Kilifi,"10,444.50","11,641.59","1,807.24","2,307.31",833.85,925,"13,085.59","14,873.90",14,Kilifi,842,"353,254",420,Kilifi,"1,453,787","12,539.70",116,Kilifi,"310,881","5,869",53,"42,373","2,063",21,"353,254",88.00494828,Kilifi,"353,254","7,932",45,14,Kilifi,0.93,0.94,0.96,0.94,3,Kilifi,439,101,10,550,1.818181818,98.18181818,79.81818182,14,Kilifi,507,507,100,14,Kilifi,"33,245","1,014",507,507,,14,Kilifi,559.7,12.8,533.4,22.6,581.5,9.5,kilifi,327,Kilifi,Kilifi,3,,,KILIFI,KILIFI,"1,323,664","9,634",0.7,237,"605,776",45.8,"282,538",21.3,"175,199",13.2,"250,280",18.9,44,KILIFI,Male,"636,891","5,214",0.8,110,"308,926",48.5,"154,263",24.2,"86,075",13.5,"82,303",12.9,kilifi,kilifi,Kilifi,20.9,42.7,KILIFI,Female,"686,754","4,420",0.6,126,"296,841",43.2,"128,273",18.7,"89,122",13,"167,972",24.5,88.00494828,17.21572693,12.05121521,"457,737",38.27503566,61.72496434,54.67768609,0.1376897283
26,Kirinyaga,"4,241.10","5,196.18",592.59,726.94,346.52,485,"5,180.21","6,408.11",15,Kirinyaga,355,"108,014",304,Kirinyaga,"610,411","1,478.30",413,Kirinyaga,"76,840","2,535",30,"31,174","1,824",17,"108,014",71.13892644,Kirinyaga,"108,014","4,359",25,15,Kirinyaga,0.91,0.91,0.92,0.91,20,Kirinyaga,197,1,0,198,0,100,99.49494949,15,Kirinyaga,199,199,100,15,Kirinyaga,"9,329",398,199,199,15,15,Kirinyaga,493.6,15.3,508.6,11.6,496.4,4.3,kirinyaga,435,Kirinyaga,Kerugoya/Kutus,20,,,KIRINYAGA,KIRINYAGA,"571,312","3,931",0.7,37,"193,518",33.9,"199,413",34.9,"136,968",24,"37,445",6.6,482,KIRINYAGA,Male,"281,556","2,256",0.8,21,"98,661",35,"100,582",35.7,"67,459",24,"12,577",4.5,kirinyaga,kirinyaga,Kirinyaga,29.3,26.7,KIRINYAGA,Female,"289,729","1,675",0.6,16,"94,852",32.7,"98,822",34.1,"69,497",24,"24,867",8.6,71.13892644,6.134391418,22.43865199,"336,381",40.71811428,59.28188572,11.13172266,1.163138474
27,Kisii,"7,785.90","8,894.27","1,244.00",728.94,403,700,"9,432.90","10,323.22",16,Kisii,"1,107","309,794",280,Kisii,"1,266,860","1,323.00",958,Kisii,"255,616","7,344",35,"54,178","2,345",23,"309,794",82.51160449,Kisii,"309,794","9,689",32,16,Kisii,1.01,1.01,1.03,1.01,45,Kisii,694,1,3,698,0.4297994269,99.57020057,99.4269341,16,Kisii,697,696,99.86,16,Kisii,"35,050","1,392",696,696,37,16,Kisii,478.8,18.7,455,16.4,473,22.4,kisii,521,Kisii,Kisii,45,,,KISII,KISII,"1,179,067","6,092",0.5,143,"557,477",47.3,"250,730",21.3,"248,244",21.1,"116,381",9.9,1091,KISII,Male,"561,241","3,097",0.6,66,"282,802",50.4,"127,184",22.7,"104,190",18.6,"43,902",7.8,kisii,kisii,Kisii,37.9,29.2,KISII,Female,"617,793","2,995",0.5,77,"274,662",44.5,"123,540",20,"144,048",23.3,"72,471",11.7,82.51160449,9.186571523,19.59521968,"498,974",49.75088882,50.24911118,23.32406097,0.865010061
28,Kisumu,"6,836.40","8,026.14","1,197.23",922.93,822.3,"1,984.00","8,855.93","10,933.07",17,Kisumu,821,"287,164",350,Kisumu,"1,155,574","2,085.40",554,Kisumu,"254,011","6,174",41,"33,153","1,554",21,"287,164",88.45502918,Kisumu,"287,164","7,728",37,17,Kisumu,0.91,0.92,0.93,0.92,42,Kisumu,615,0,0,615,0,100,100,17,Kisumu,613,613,100,17,Kisumu,"30,716","1,226",613,613,110,17,Kisumu,464.8,24,484,27.4,459.6,28.6,kisumu,,Kisumu,Kisumu,42,,,KISUMU,KISUMU,,"7,121",0.7,301,"504,812",47.6,"284,283",26.8,"188,709",17.8,75998,7.2,,KISUMU,Male,"511,739","3,831",0.7,148,"253,600",49.6,"144,815",28.3,"80,326",15.7,"29,019",5.7,kisumu,kisumu,Kisumu,29,31.1,KISUMU,Female,"549,465",45.7,"139,457",25.4,"108,379",19.7,"46,977",8.5,,,,,88.45502918,6.576645027,16.33032588,"472,992",39.89686929,60.10313071,16.0675022,0.6749401062
29,Kitui,"8,830.35","10,393.97",833.88,658.52,326.45,850,"9,990.68","11,902.49",18,Kitui,"1,620","335,078",207,Kitui,"1,136,187","30,429.50",37,Kitui,"318,630","10,142",31,"16,448","1,126",15,"335,078",95.09129218,Kitui,"335,078","11,268",30,18,Kitui,0.98,0.98,0.98,0.98,15,Kitui,885,484,45,"1,414",3.182461103,96.8175389,62.5884017,18,Kitui,,,99.6,18,Kitui,"42,732","2,466","1,233","1,233",,18,Kitui,482.6,17.6,448.9,15.1,467.7,12.7,kitui,398,Kitui,Kitui,15,,,KITUI,KITUI,"1,056,907","11,795",1.1,149,"490,726",46.4,"265,238",25.1,"152,030",14.4,"136,969",13,305,KITUI,Male,"508,247","6,431",1.3,61,"250,178",49.2,"127,266",25,"72,606",14.3,"51,705",10.2,kitui,kitui,Kitui,21,28.9,KITUI,Female,"548,634","5,364",1,88,"240,536",43.8,"137,968",25.1,"79,419",14.5,"85,259",15.5,95.09129218,12.05514585,13.3807199,"417,268",36.43461756,63.56538244,32.82518669,0.02304835768
30,Kwale,"7,785.90","8,265.59","1,164.15","1,237.99",250.09,315,"9,200.14","9,818.58",19,Kwale,532,"203,634",383,Kwale,"866,820","8,267.10",105,Kwale,"188,975","3,797",50,"14,659",947,15,"203,634",92.80130037,Kwale,"203,634","4,744",43,19,Kwale,0.98,0.99,1,0.99,2,Kwale,349,51,21,421,4.988123515,95.01187648,82.89786223,19,Kwale,364,362,99.45,19,Kwale,"22,570",724,362,362,,19,Kwale,520.3,22,508.6,31.7,564.6,24.1,kwale,320,Kwale,Kwale,2,,,KWALE,KWALE,"783,189","5,418",0.7,169,"334,612",42.7,"152,178",19.4,"98,811",12.6,"192,001",24.5,26,KWALE,Male,"382,538","3,108",0.8,89,"171,696",44.9,"83,012",21.7,"49,352",12.9,"75,281",19.7,kwale,kwale,Kwale,53.7,32.3,KWALE,Female,"400,636","2,310",0.6,80,"162,911",40.7,"69,162",17.3,"49,457",12.3,"116,716",29.1,92.80130037,22.15004268,11.39925244,"250,989",39.36865759,60.63134241,76.4977748,0.1970897778
31,Laikipia,"4,177.80","5,136.27",715.83,748.11,840.4,"1,006.00","5,734.03","6,890.37",20,Laikipia,354,"97,710",276,Laikipia,"518,560","9,532.20",54,Laikipia,"85,592","2,719",31,"12,118",775,16,"97,710",87.59799406,Laikipia,"97,710","3,494",28,20,Laikipia,0.95,0.97,0.98,0.97,31,Laikipia,245,53,2,300,0.6666666667,99.33333333,81.66666667,20,Laikipia,292,289,98.97,20,Laikipia,"11,096",578,289,289,10,20,Laikipia,484.3,27.8,482.5,26.9,491.7,32.3,laikipia,464,Laikipia,Rumuruti,31,,,LAIKIPIA,LAIKIPIA,"475,756","3,045",0.6,38,"184,613",38.8,"152,372",32,"59,213",12.4,"76,475",16.1,728,LAIKIPIA,Male,"236,702","1,731",0.7,19,"94,751",40,"78,392",33.1,"28,229",11.9,"33,580",14.2,laikipia,laikipia,Laikipia,26.4,26,LAIKIPIA,Female,"239,042","1,314",0.5,19,"89,858",37.6,"73,979",30.9,"30,981",13,"42,891",17.9,87.59799406,14.74757019,11.4187365,"211,585",27.9854432,72.0145568,36.14386653,0.153674782
